code,description,discount_percentage,start_date,end_date
Descuento 50%,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",32.57,2024-02-16,2023-11-10
Descuento 50%,Nam dui.,33.52,2023-10-10,2024-07-28
Descuento 10%,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,89.06,2023-09-13,2024-07-06
Descuento 50%,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",97.31,2024-01-19,2024-02-25
Descuento 50%,Maecenas pulvinar lobortis est.,98.38,2024-06-01,2024-03-22
Descuento 10%,Sed ante. Vivamus tortor.,48.27,2024-04-07,2023-11-16
Descuento 50%,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",73.56,2024-01-19,2023-12-09
Descuento 10%,Nunc rhoncus dui vel sem.,2.35,2023-08-11,2023-10-07
Descuento 50%,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,76.35,2024-01-09,2024-04-19
Descuento 10%,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,55.18,2024-03-28,2024-03-14
Descuento 10%,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",52.84,2024-04-19,2024-06-08
Descuento 30%,Etiam pretium iaculis justo.,10.37,2023-12-08,2023-11-20
Descuento 30%,In congue. Etiam justo.,76.89,2023-12-04,2023-08-19
Descuento 10%,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",86.94,2024-07-10,2023-09-09
Descuento 10%,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,10.47,2023-11-02,2023-08-11
Descuento 50%,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",39.72,2024-03-04,2024-07-03
Descuento 10%,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,69.68,2023-12-06,2024-07-20
Descuento 10%,Nam dui.,45.52,2024-05-24,2023-12-26
Descuento 50%,Nam dui.,61.27,2023-11-20,2024-03-22
Descuento 30%,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",66.33,2024-03-22,2023-09-27
Descuento 10%,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",24.6,2024-01-03,2024-01-16
Descuento 30%,Sed vel enim sit amet nunc viverra dapibus.,82.74,2023-11-19,2023-08-23
Descuento 30%,Aenean auctor gravida sem.,12.04,2023-09-12,2024-03-27
Descuento 50%,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",92.96,2023-11-18,2024-07-15
Descuento 50%,Suspendisse potenti.,48.45,2023-11-02,2023-11-24
Descuento 10%,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",59.91,2024-05-06,2024-01-06
Descuento 50%,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",40.3,2024-07-12,2024-05-30
Descuento 10%,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",14.83,2024-06-29,2024-06-11
Descuento 10%,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,57.44,2024-06-10,2023-07-31
Descuento 10%,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",4.22,2023-11-01,2024-05-20
Descuento 50%,Suspendisse ornare consequat lectus.,7.55,2024-06-11,2024-01-05
Descuento 10%,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",61.91,2023-09-25,2023-10-19
Descuento 30%,Etiam vel augue.,91.68,2024-03-21,2024-05-07
Descuento 10%,Phasellus sit amet erat. Nulla tempus.,86.77,2024-05-11,2024-07-05
Descuento 30%,In congue. Etiam justo. Etiam pretium iaculis justo.,9.71,2023-09-12,2024-07-28
Descuento 30%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",80.36,2023-08-03,2024-02-06
Descuento 30%,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,11.92,2023-11-21,2024-06-04
Descuento 30%,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,99.91,2024-03-13,2024-06-11
Descuento 30%,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",63.55,2024-03-28,2023-12-31
Descuento 50%,Praesent id massa id nisl venenatis lacinia.,37.39,2024-04-16,2023-11-05
Descuento 50%,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",3.24,2024-02-26,2024-02-24
Descuento 50%,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,69.29,2024-06-27,2023-12-13
Descuento 10%,In sagittis dui vel nisl.,99.84,2023-08-15,2023-12-10
Descuento 10%,Phasellus in felis. Donec semper sapien a libero. Nam dui.,28.29,2024-07-06,2023-10-28
Descuento 50%,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,55.4,2024-03-31,2024-01-31
Descuento 30%,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,34.98,2023-11-17,2024-07-10
Descuento 30%,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,14.14,2023-11-12,2024-04-07
Descuento 50%,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,54.53,2023-11-29,2023-09-29
Descuento 30%,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",74.27,2023-09-26,2024-07-17
Descuento 10%,Pellentesque viverra pede ac diam.,20.47,2023-08-15,2023-09-30
Descuento 50%,Quisque ut erat.,94.77,2024-01-12,2023-09-05
Descuento 50%,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,71.12,2024-07-13,2023-10-21
Descuento 50%,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",94.31,2023-10-27,2024-07-17
Descuento 30%,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,9.71,2024-05-17,2024-04-16
Descuento 30%,Sed ante.,81.39,2024-02-04,2023-09-03
Descuento 10%,Nulla ac enim.,44.04,2024-04-27,2024-05-29
Descuento 10%,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,44.45,2024-02-24,2024-06-01
Descuento 50%,Vivamus vel nulla eget eros elementum pellentesque.,20.15,2023-12-05,2024-03-16
Descuento 10%,Aenean sit amet justo.,92.04,2023-12-18,2023-11-25
Descuento 50%,Integer non velit.,67.14,2024-03-22,2023-09-20
Descuento 10%,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",92.62,2023-09-01,2023-11-20
Descuento 10%,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",28.39,2024-03-07,2023-12-21
Descuento 50%,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",15.15,2024-05-19,2024-07-02
Descuento 10%,Nulla ac enim.,77.7,2024-02-09,2024-03-08
Descuento 30%,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",92.75,2024-03-28,2024-06-02
Descuento 30%,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,7.34,2024-06-07,2023-11-17
Descuento 50%,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,23.32,2023-11-01,2024-03-12
Descuento 50%,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",65.33,2023-09-09,2023-09-19
Descuento 30%,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",56.0,2024-02-10,2024-02-28
Descuento 10%,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,5.67,2024-02-18,2024-04-26
Descuento 30%,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",55.41,2023-09-05,2024-01-10
Descuento 30%,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",59.51,2023-08-09,2023-12-01
Descuento 30%,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",9.68,2024-04-11,2023-11-03
Descuento 30%,Donec posuere metus vitae ipsum. Aliquam non mauris.,57.18,2023-09-05,2024-05-05
Descuento 30%,Proin eu mi.,46.58,2023-08-13,2024-01-01
Descuento 50%,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,14.9,2024-04-20,2024-01-12
Descuento 10%,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",71.63,2023-09-18,2023-09-07
Descuento 50%,Nunc nisl.,33.93,2024-03-18,2024-01-29
Descuento 10%,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,20.27,2024-01-26,2023-11-08
Descuento 50%,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,52.63,2024-07-08,2023-10-15
Descuento 50%,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,20.35,2023-11-14,2024-06-04
Descuento 30%,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",36.84,2023-09-29,2024-07-26
Descuento 50%,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",36.27,2024-05-02,2024-05-03
Descuento 50%,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,27.45,2024-07-19,2023-10-21
Descuento 10%,Sed ante. Vivamus tortor.,78.79,2023-09-26,2024-01-21
Descuento 50%,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,90.22,2024-01-16,2024-03-14
Descuento 10%,Quisque ut erat.,68.83,2024-07-13,2024-01-11
Descuento 50%,Aliquam erat volutpat. In congue.,35.33,2023-08-02,2023-10-02
Descuento 30%,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,19.1,2024-03-04,2023-11-03
Descuento 50%,Maecenas tincidunt lacus at velit.,56.92,2023-11-16,2023-11-28
Descuento 10%,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,65.64,2024-07-18,2024-01-10
Descuento 30%,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",54.31,2023-11-16,2023-08-31
Descuento 30%,Donec dapibus.,64.9,2024-07-06,2024-02-07
Descuento 10%,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",11.36,2023-07-31,2023-08-23
Descuento 50%,Nulla ut erat id mauris vulputate elementum. Nullam varius.,13.73,2023-09-10,2023-12-28
Descuento 50%,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",74.91,2024-05-07,2023-09-11
Descuento 10%,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,69.78,2023-12-03,2024-04-13
Descuento 50%,Phasellus sit amet erat. Nulla tempus.,56.79,2023-12-02,2023-08-22
Descuento 50%,In hac habitasse platea dictumst.,66.17,2023-12-02,2023-12-05
Descuento 10%,Donec semper sapien a libero. Nam dui.,30.0,2024-04-22,2023-09-19
Descuento 50%,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",85.37,2024-03-01,2024-03-20
Descuento 30%,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,33.86,2024-04-23,2024-01-15
Descuento 50%,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,38.25,2024-07-22,2023-12-31
Descuento 10%,Proin eu mi. Nulla ac enim.,88.21,2024-02-26,2024-06-01
Descuento 10%,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,79.71,2024-01-16,2024-03-22
Descuento 10%,Sed vel enim sit amet nunc viverra dapibus.,82.1,2024-07-19,2024-05-12
Descuento 30%,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",87.05,2023-08-29,2023-08-11
Descuento 10%,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,34.61,2024-07-02,2023-12-24
Descuento 50%,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,23.7,2023-10-03,2024-04-19
Descuento 50%,Donec semper sapien a libero. Nam dui.,39.66,2023-08-29,2023-12-23
Descuento 10%,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",15.55,2023-12-22,2024-05-04
Descuento 50%,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,6.99,2023-10-14,2023-10-30
Descuento 10%,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",13.51,2023-11-17,2023-09-05
Descuento 30%,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",71.04,2023-12-08,2024-03-05
Descuento 30%,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,5.2,2024-05-21,2023-10-10
Descuento 10%,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",92.13,2024-05-14,2024-06-16
Descuento 50%,Phasellus sit amet erat.,63.69,2023-10-02,2024-02-01
Descuento 10%,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,12.87,2023-10-31,2024-02-22
Descuento 50%,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",69.3,2023-09-09,2024-03-18
Descuento 10%,Proin risus.,57.9,2024-01-19,2024-04-20
Descuento 30%,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,79.1,2024-04-18,2024-02-29
Descuento 10%,Suspendisse potenti.,14.4,2023-12-10,2024-03-31
Descuento 50%,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",80.38,2023-08-13,2024-03-14
Descuento 30%,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",71.22,2024-07-02,2023-09-27
Descuento 50%,In congue. Etiam justo. Etiam pretium iaculis justo.,91.12,2023-10-26,2023-08-13
Descuento 50%,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",21.68,2024-05-03,2023-11-14
Descuento 10%,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,61.98,2023-10-16,2024-02-29
Descuento 50%,Etiam pretium iaculis justo.,13.26,2023-12-10,2024-04-07
Descuento 10%,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",11.27,2023-12-29,2024-05-14
Descuento 30%,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,51.02,2024-04-11,2023-08-28
Descuento 10%,Nam tristique tortor eu pede.,29.98,2024-04-26,2024-06-15
Descuento 50%,Donec semper sapien a libero.,57.4,2024-06-01,2023-08-13
Descuento 10%,Nullam molestie nibh in lectus.,70.29,2024-06-10,2024-03-10
Descuento 30%,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",17.49,2024-06-26,2023-08-21
Descuento 10%,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,85.68,2023-08-09,2023-12-12
Descuento 10%,Morbi non quam nec dui luctus rutrum.,36.49,2024-05-10,2023-10-14
Descuento 50%,Aliquam sit amet diam in magna bibendum imperdiet.,82.54,2024-07-22,2024-01-27
Descuento 10%,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",75.04,2024-04-15,2023-09-23
Descuento 30%,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,85.15,2023-11-27,2024-03-08
Descuento 10%,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",45.98,2024-07-02,2024-04-17
Descuento 50%,Nullam porttitor lacus at turpis.,79.96,2023-11-20,2023-10-03
Descuento 30%,Mauris ullamcorper purus sit amet nulla.,26.16,2023-10-28,2024-01-02
Descuento 10%,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",98.38,2024-03-29,2024-05-07
Descuento 50%,Nullam porttitor lacus at turpis.,71.0,2023-11-25,2024-01-28
Descuento 10%,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,5.34,2024-03-05,2024-03-31
Descuento 10%,Donec semper sapien a libero. Nam dui.,98.41,2024-01-12,2023-12-01
Descuento 50%,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",92.19,2024-05-09,2023-08-16
Descuento 10%,Suspendisse ornare consequat lectus.,58.2,2023-11-30,2024-02-19
Descuento 30%,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,16.02,2024-06-13,2023-08-31
Descuento 30%,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,37.91,2024-02-23,2023-12-29
Descuento 10%,Fusce consequat. Nulla nisl.,11.58,2024-02-22,2024-07-26
Descuento 30%,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,20.4,2024-05-17,2024-06-22
Descuento 30%,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,54.89,2024-01-17,2024-07-07
Descuento 50%,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",38.48,2023-08-27,2024-07-08
Descuento 50%,Integer a nibh.,10.36,2024-06-05,2023-10-24
Descuento 10%,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,83.06,2023-11-17,2024-02-15
Descuento 30%,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",50.67,2024-04-18,2024-03-21
Descuento 10%,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",34.06,2024-01-19,2024-07-16
Descuento 30%,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,92.8,2024-07-10,2023-09-05
Descuento 10%,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",36.67,2024-02-18,2024-05-02
Descuento 50%,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",39.18,2023-10-08,2024-02-23
Descuento 50%,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,23.2,2024-07-02,2023-09-23
Descuento 50%,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,17.27,2023-11-20,2024-07-06
Descuento 30%,Duis consequat dui nec nisi volutpat eleifend.,34.24,2024-05-01,2023-09-13
Descuento 50%,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,50.69,2023-10-28,2023-08-28
Descuento 30%,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,82.69,2023-11-14,2023-08-31
Descuento 30%,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",96.25,2024-05-15,2024-06-10
Descuento 10%,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,31.17,2024-06-10,2024-07-13
Descuento 50%,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",61.52,2024-06-17,2024-06-15
Descuento 50%,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",23.04,2024-04-30,2023-11-12
Descuento 10%,Nulla mollis molestie lorem. Quisque ut erat.,51.63,2023-10-15,2024-04-13
Descuento 10%,Nunc purus.,95.63,2024-06-24,2024-01-03
Descuento 50%,Morbi quis tortor id nulla ultrices aliquet.,96.98,2023-11-16,2024-02-25
Descuento 50%,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",5.79,2023-12-17,2023-09-28
Descuento 10%,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,73.2,2024-07-10,2024-04-11
Descuento 30%,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",5.91,2023-10-17,2024-04-04
Descuento 10%,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",98.46,2024-06-12,2024-06-03
Descuento 10%,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",70.33,2024-02-18,2023-12-19
Descuento 10%,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5.88,2023-12-11,2023-09-23
Descuento 50%,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",63.37,2023-10-15,2023-10-29
Descuento 10%,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",4.2,2023-10-31,2023-08-21
Descuento 50%,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,7.58,2023-09-18,2024-03-08
Descuento 50%,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,59.37,2024-01-21,2024-03-19
Descuento 30%,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",14.62,2023-10-08,2024-02-01
Descuento 30%,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,87.19,2023-11-26,2024-03-11
Descuento 50%,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,51.71,2023-08-19,2023-10-07
